B,seed,kappa,delta,alpha,T_eff
256,5,20.25946617126465,0.45903363823890686,0.7786317856833275,2.0132372924308584e-07
256,6,57.012001037597656,0.49899914860725403,0.6951508894299596,6.092277260449919e-08
256,7,12.729497909545898,0.49553656578063965,0.7021141322120784,1.4894267508225312e-07
256,8,19.69683837890625,0.4852762222290039,0.72303701979644,1.0993495003219778e-08
256,9,inf,0.48750168085098267,0.7184615406507255,8.847543357670684e-12
256,10,14.300086975097656,0.49077099561691284,0.7117776640266834,2.1589304566305145e-08
256,11,5.627219200134277,0.48599308729171753,0.7215608788623923,8.484918323503621e-10
256,12,10.357123374938965,0.4956006407737732,0.7019848363026946,2.240754639615261e-07
256,13,8.36776065826416,0.48689529299736023,0.7197061831284395,3.1171498449111823e-07
256,14,19.575136184692383,0.486795037984848,0.7199121110496203,1.2172827723588853e-07
256,15,14.861348152160645,0.47832632064819336,0.7374621002297896,2.9040256421808408e-08
256,16,21.193397521972656,0.49110889434814453,0.7110893950275441,7.939083701558047e-08
256,17,13.993660926818848,0.4962208867073059,0.7007341152864602,2.2884685257906767e-09
256,18,1.6239780187606812,0.4934302866458893,0.7063736932160714,6.654806566919191e-11
256,19,16.4370174407959,0.49687904119491577,0.6994086603841412,1.7332009161208362e-09
256,20,14.150524139404297,0.49580392241477966,0.7015747481279911,1.1444081238209947e-08
256,21,inf,0.4970097839832306,0.6991455669963158,3.0253290107459807e-13
256,22,14.264694213867188,0.4761028289794922,0.7421214208134045,2.784869934657763e-07
256,23,inf,0.49617069959640503,0.7008352590519583,1.8686484651309065e-11
256,24,17.5661678314209,0.49899163842201233,0.695165940040325,5.764734023472329e-09
256,25,1.6397439241409302,0.49918344616889954,0.6947816231960978,7.356175391048936e-11
256,26,inf,0.4822777509689331,0.7292350840744675,3.7001811662405737e-13
256,27,11.384305953979492,0.49901527166366577,0.6951185791625213,2.7506953159672776e-08
256,28,12.4942045211792,0.4920981824398041,0.7090770245943571,1.0020236373975422e-07
256,29,14.576678276062012,0.49900543689727783,0.6951382877042457,9.160075475911356e-10
